,favorite_count,retweet_count,tweet_id
0,33697,6969,892420639486877696
1,29222,5272,892177413194625024
2,21978,3464,891815175371796480
3,36791,7191,891689552724799489
4,35182,7717,891327551943041024
5,17749,2586,891087942176911360
6,10331,1647,890971906207338496
7,56670,15679,890729118844600320
8,24427,3604,890609177319665665
9,27848,6068,890240245463175168
10,26947,6111,890006600089468928
11,24488,4141,889880888800096258
12,41878,8302,889665366129029120
13,23580,3700,889638825424826374
14,13313,1874,889531127467266049
15,22026,4418,889278779352338437
16,25533,3742,888917229776945152
17,22392,3513,888804981515575296
18,17252,2863,888554915546542081
19,19101,2885,888078426338406400
20,26530,4516,887705281597243393
21,40586,9810,887517108413886465
22,59978,14952,887473949361045505
23,29490,8775,887343120832229379
24,26897,4969,887101385971384320
25,30239,6287,886983218871902208
26,10455,2615,886736868116754432
27,19655,3720,886680331239161856
28,18489,2613,886366138128449536
29,105,4,1367857849301352455
30,24445,5253,886258377298292737
31,0,93,19607400
32,28496,5589,885984792034004992
33,31483,5306,885528931826368512
34,17941,3097,885518971528720385
35,0,15364,4196983835
36,19191,3652,885167573385588737
37,67015,14943,884925516695965696
38,24298,4639,884876742820859904
39,21244,3896,884562886777065473
40,23778,4776,884441800177528832
41,63020,56837,883965641492922369
42,17888,2493,884162662212489221
43,19092,2850,883838118432034816
44,40044,8221,883482838036860928
45,19879,3061,883360682745503744
46,32387,5513,883117826525024257
47,20920,3229,882992072327913472
48,24696,4077,882762686299353088
49,24528,5042,882627261886758912
50,39042,9583,882268100984492032
51,25626,4066,882045864507736065
52,21374,2839,881906570426281984
53,44387,8912,881666587375304705
54,113,8,1394819764296486914
55,43283,13351,881535971568889856
56,20428,4482,881268439486169090
57,14995,2325,880935758152028161
58,18655,3191,880872431472267264
59,24929,5192,880465790071427074
60,23578,3448,880221119067770882
61,24233,3634,880096313915752450
62,19637,2913,879862459263307776
63,282,9,3105440746
64,20649,2619,879492035853660161
65,92504,37265,879415784908390401
66,14809,2634,879376482266632192
67,0,5712,4196983835
68,19746,3936,879050744279834628
69,16724,2230,879008224678207491
70,17086,3419,878776084946448384
71,26357,135,878599868507402241
72,0,1070,4196983835
73,0,5501,4196983835
74,6755,1070,878281503754510336
75,37018,5712,878057599261745152
76,69047,15734,877736466763448320
77,0,70,512804507
78,19838,3152,877556240326512640
79,24069,4321,877316816103772164
80,23795,4602,877201827330174976
81,18165,2795,876838110318936065
82,20989,9125,876162987706417152
83,16510,1989,876484043352588288
84,24610,3890,876120269428932608
85,22034,3567,875747755280318464
86,19368,4132,875144175078957056
87,24169,23845,874413321549631488
88,22479,3954,875021140921417728
89,24521,3906,874680081829904384
90,0,12159,4196983835
91,22883,3471,874296776056078336
92,20056,3368,874057549548589057
93,30024,8551,874012990328197120
94,21311,3333,873580279771926529
95,0,1327,4196983835
96,6302,1327,873213769794670593
97,23980,4544,872967099819462661
98,13030,3157,872820673743376386
99,18273,3058,872620798208610305
100,35987,7683,872486967967006720
101,30103,6803,872122708573777925
102,32968,9209,871879745683804161
103,17818,2958,871762515608436741
104,17846,2924,871515922741284865
105,0,4878,4196983835
106,18489,9651,871075694524203009
107,20093,3213,871032610994225153
108,29703,5264,870804299743338497
109,105,3,16487760
110,10857,2190,870656293136216066
111,73716,22657,870374041554751488
112,19420,3534,870308992022568960
113,32311,7050,870063191304392704
114,37894,8659,869772408907071492
115,24966,5363,869702951354474496
116,14149,2629,869596640562249728
117,18083,3188,869227980345798656
